Order,Family,Species,subspecies,Common Name,Source,Accession,IUCN
SIRENIA,Trichechidae,Trichechus manatus,,Florida manatee,2. Existing assembly,GCF_000243295.1,EN
CETARTIODACTYLA,Iniidae,Pontoporia blainvillei,,La plata dolphin,3. Zoonomia (not in alignment),GCA_004363935.1,VU
CHIROPTERA,Phyllostomidae,Macrotus californicus,,California leaf-nosed bat,3. Zoonomia (not in alignment),GCA_007922815.1,LC
CHIROPTERA,Rhinolophidae,Rhinolophus ferrumequinum,,Greater horseshoe bat,3. Zoonomia (not in alignment),GCA_007922735.1,LC
CHIROPTERA,Vespertilionidae,Antrozous pallidus,,Pallid bat,3. Zoonomia (not in alignment),GCA_007922775.1,LC
CHIROPTERA,Vespertilionidae,Nycticeius humeralis,,Egyptian slit-faced bat,3. Zoonomia (not in alignment),GCA_007922795.1,LC
PHOLIDOTA,Manidae,Manis tricuspis,,Tree pangolin,3. Zoonomia (not in alignment),GCA_004765945.1,VU
PILOSA,Bradypodidae,Bradypus variegatus,,Brown-throated sloth,3. Zoonomia (not in alignment),GCA_004027775.1,LC
RODENTIA,Pedetidae,Pedetes capensis,,South African springhare,3. Zoonomia (not in alignment),GCA_007922755.1,LC
RODENTIA,Spalacidae,Rhizomys pruinosus,,Hoary bamboo rat,3. Zoonomia (not in alignment),GCA_004026225.1,LC
