Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_004115175.2	mOrnAna1.alt.v3	Ornithorhynchus anatinus					Pmale09	male		1575252831	Scaffold	2020-04-06	RZJU02	882175	882175
GCA_004115215.4	mOrnAna1.pri.v4	Ornithorhynchus anatinus					Pmale09	male		1859264908	Chromosome	2020-11-06	RZJT02	15146802	83338043
GCA_004115245.2	mPhyDis1.alti.v3	Phyllostomus discolor					MPI-MPIP mPhyDis1	male		2051656167	Scaffold	2020-05-11	RXPB02	931872	931872
GCA_004115265.3	mRhiFer1_v1.p	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	female		2075768562	Chromosome	2019-05-17	RXPC01	31900497	88025743
GCA_004115295.1	mRhiFer1_v1.h	Rhinolophus ferrumequinum					MPI-CBG mRhiFer1	female		1514615512	Scaffold	2019-01-28	RXPD01	301176	301176
GCA_004123975.1	Pco_k61	Puma concolor				Everglades Florida Panther	FP16	male		2591702724	Scaffold	2019-01-31	PSOM01	6267	193865
GCA_004126475.3	mPhyDis1.pri.v3	Phyllostomus discolor					MPI-MPIP mPhyDis1	male		2108832841	Chromosome	2020-05-12	RXPA02	6892556	171742863
GCA_004216515.1	sis1-161031-pseudohap	Lycaon pictus				Zimbabwe	Sister 1	female		2137698293	Scaffold	2019-02-20	SIDF01	61225	7494581
GCA_004329385.1	megNov1	Megaptera novaeangliae	North Atlantic				ASU/GRON-1	female		2265788366	Scaffold	2019-03-06	RYZJ01	12321	9138802
GCA_004348235.1	GSC_HSeal_1.0	Phoca vitulina					PV1807	female		2363579318	Scaffold	2019-02-11	RXNX01	283887	41024070
GCA_004361675.1	CVASU_BBG_1.0	Capra hircus	Black Bengal goat			Bengal		male		3041623660	Chromosome	2019-03-22	SMSF01	819	102339471
GCA_004363415.1	EscRob_v1_BIUU	Eschrichtius robustus					BS60	male		2617572198	Scaffold	2019-03-22	RJWN01	68559	94414
GCA_004363435.1	PlaMin_v1_BIUU	Platanista minor					BS66	female		2671072510	Scaffold	2019-03-22	RJWK01	20879	23933
GCA_004363455.1	EubJap_v1_BIUU	Eubalaena japonica					BS61	male		2693575300	Scaffold	2019-03-22	RJWP01	34866	39813
GCA_004363475.1	PerLonPac_v1_BIUU	Perognathus longimembris pacificus					BS65	male		2601695796	Scaffold	2019-03-22	RJWR01	17686	24714
GCA_004363495.1	PhoPho_v1_BIUU	Phocoena phocoena					BS71			2701010810	Scaffold	2019-03-22	RJWQ01	89111	115969
GCA_004363515.1	IniGeo_v1_BIUU	Inia geoffrensis					BS63	male		2596281358	Scaffold	2019-03-22	RJWO01	24570	26707
GCA_004363535.1	DasPun_v1_BIUU	Dasyprocta punctata					BS37			3012098298	Scaffold	2019-03-22	RJWM01	38650	43703
GCA_004363575.1	SolPar_v1_BIUU	Solenodon paradoxus					US097			2109877870	Scaffold	2019-03-22	RJWH01	236847	407682
GCA_004363605.1	IndInd_v1_BIUU	Indri indri					BS62	female		2701849413	Scaffold	2019-03-22	RJWJ01	26447	28620
GCA_004363705.1	KogBre_v1_BIUU	Kogia breviceps					BS64			2759698159	Scaffold	2019-03-22	RJWL01	26201	28812
GCA_004363935.1	PonBla_v1_BIUU	Pontoporia blainvillei					BS67	female		1685099017	Scaffold	2019-03-22	RJWI01	2541	2541
GCA_004364475.1	ZipCav_v1_BIUU	Ziphius cavirostris					BS68	female		3150417206	Scaffold	2019-03-22	RJWS01	3606	3608
GCA_004365145.1	OryAfe_v1_BIUU	Orycteropus afer					BS58			4687958587	Scaffold	2019-03-22	RJWU01	20354	22965
GCA_004365215.1	CunPac_v1_BIUU	Cuniculus paca					BS43			3399583187	Scaffold	2019-03-22	RJWT01	3890	3892
GCA_004365275.1	TupTan_v1_BIUU	Tupaia tana					BS70			3648908809	Scaffold	2019-03-22	RJWV01	2971	2973
GCA_004368595.1	ASM436859v1	Myodes glareolus					2016_BV1	male		2396208714	Scaffold	2019-03-26	MULK01	164884	1590265
GCA_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	LL Stock					female		2475164510	Chromosome	2020-10-02	NMRJ02	3487364	114273790
GCA_004765945.2	mPhaTri1	Phataginus tricuspis					BS60			3031505349	Scaffold	2022-11-10	SOZM02	23744	9929315
GCA_004785775.1	NIH_TR_1.0	Grammomys surdaster					TR1022	female		2412664998	Scaffold	2019-04-12	SRMG01	51731	8094907
GCA_004794615.1	Bubbub1.0	Bubalus bubalis	Bangladesh					male		2770260352	Scaffold	2019-04-15	NPZD01	25038	6957949
GCA_004796285.1	HG002_CCS_canu_paternal_1.0	Homo sapiens					NA24385	male		2957656065	Contig	2019-04-16	SRHB01	16145298	
GCA_004796485.2	HG002_CCS_canu_maternal_1.1	Homo sapiens					NA24385	male		3041463765	Contig	2019-12-17	SRHA02	18015395	
GCA_004802615.1	BGI_mandrill_1.0	Mandrillus sphinx					Masph-2018	male		2860576561	Scaffold	2019-04-22	SRPC01	21683	3577924
GCA_004886185.2	Basenji_breed-1.1	Canis lupus familiaris	Basenji				MU ID 185726	male		2410429933	Chromosome	2019-08-16	SDHF02	3131423	61087166
GCA_005125345.1	ASM512534v1	Monodon monoceros				West Greenland	MVW	female	Annotation submitted by University of Copenhagen	2350881526	Scaffold	2019-05-03	RWIC01	10044	1483363
GCA_005190385.2	NGI_Narwhal_1	Monodon monoceros				Baffin Bay Population	NGI	male		2355574979	Scaffold	2019-05-07	SIHG01	255327	107566389
GCA_005190385.3	NGI_Narwhal_2	Monodon monoceros				Baffin Bay Population	NGI	male		2341938226	Scaffold	2022-11-09	SIHG02	22031227	108465051
GCA_005280165.1	ASM528016v1	Marmota himalayana						male		2471704417	Scaffold	2019-05-10	RAQP01	102162	1497034
GCA_005406085.2	Prionailurus_bengalensis_euptilurus_v03	Prionailurus bengalensis euptilurus					No61			2421863388	Scaffold	2020-09-15	BIMV02	20431	214455
GCA_005444595.1	UMICH_Zoey_3.1	Canis lupus familiaris	Great Dane				Zoey	female		2343202000	Chromosome	2019-05-30	REHQ01	4722218	64204256
GCA_005446665.1	ASM544666v1	Canis lupus familiaris	Great Dane				Zoey	female		178532020	Contig	2019-05-16	SWLD01	28638	
GCA_005453305.1	ASM545330v1	Macaca mulatta	Indian rhesus macaque				RUp15	male		2832421508	Contig	2019-05-16	SBKD01	8424208	
GCA_005453525.2	ASM545352v2	Macaca mulatta	Indian rhesus macaque				RUp15	male		2179644428	Contig	2019-05-16	SBKD01	451490	
GCA_005458795.1	GSC_VIM_1.0	Marmota vancouverensis					RANI-1049	female		2504036567	Scaffold	2019-05-16	SAYX01	11502	1590947
GCA_005887515.3	BosGru3.1	Bos grunniens				maiwa	yakHY00	male		2831460571	Chromosome	2019-06-10	VBZB01	44716738	114386978
GCA_006229205.1	meerkat_22Aug2017_6uvM2_HiC	Suricata suricatta					VVHF042			2353578744	Chromosome	2019-07-03	VCRZ01	75409	141453419
GCA_006408465.1	WLD	Cervus albirostris					WLD-bcl			2692225130	Scaffold	2019-06-24	SJXR01	39627	3769372
GCA_006408485.1	BMJ	Muntiacus crinifrons					BMJ-hj			2681196170	Scaffold	2019-06-24	SJXS01	8265	1305444
GCA_006408505.1	CTB	Damaliscus lunatus					CTB-792			3127764384	Scaffold	2019-06-24	SJXP01	38843	1166796
GCA_006408525.1	CIJ	Muntiacus reevesi					CIJ-jz			2601888952	Scaffold	2019-06-24	SJXT01	72382	1221377
GCA_006408545.1	HBT	Alcelaphus buselaphus					HBT-best			3882338275	Scaffold	2019-06-24	SJXN01	889	12034
GCA_006408565.1	GFE	Giraffa camelopardalis					GFE-hd			2473180627	Scaffold	2019-06-24	SJXV01	25056	3153258
GCA_006408585.1	SGB	Antidorcas marsupialis					SGB-9149			3024612899	Scaffold	2019-06-24	SJYB01	42749	694905
GCA_006408615.1	BWD	Connochaetes taurinus					BWD-738			2644042816	Scaffold	2019-06-24	SJXO01	70608	366224
GCA_006408635.1	GTG	Nanger granti					GTG-3714			3032779593	Scaffold	2019-06-24	SJYD01	7454	528456
GCA_006408655.1	LMD	Tragulus kanchil					LMD-DV			3053423192	Scaffold	2019-06-24	SJXW01	13850	243497
GCA_006408675.1	KDD	Madoqua kirkii					KDD-541			2648126871	Scaffold	2019-06-24	SJYC01	27722	27730
GCA_006408695.1	IMP	Aepyceros melampus					IMP-100			2631303056	Scaffold	2019-06-24	SJXQ01	82459	344542
GCA_006408735.1	CMD	Sylvicapra grimmia					CMD-5126			3145094493	Scaffold	2019-06-24	SJYH01	9720	583330
GCA_006408755.1	TMG	Eudorcas thomsonii					TMG-4057			2904272043	Scaffold	2019-06-24	SJYE01	137476	1581717
GCA_006408785.2	ASM640878v2	Syncerus caffer					ABF-221			2929436968	Scaffold	2021-12-01	SJXX02	52316	2316376
GCA_006409035.1	CMJ	Muntiacus muntjak					CMJ-cj			2703710594	Scaffold	2019-06-24	SJXU01	23470	1258210
GCA_006410495.1	BUB	Tragelaphus scriptus					BUB-555			2873326854	Scaffold	2019-06-24	SJXY01	28350	890554
GCA_006410515.1	PLG	Procapra przewalskii					PLG-pushi			2692986855	Scaffold	2019-06-24	SJYF01	10405	5522907
GCA_006410535.1	GRK	Litocranius walleri					GRK-570			2979336167	Scaffold	2019-06-24	SJYG01	62351	3126223
GCA_006410555.1	IBX	Capra ibex					IBX-bsy			2701356656	Scaffold	2019-06-24	SJYO01	380983	61905114
GCA_006410575.1	GMB	Oryx gazella					GMB-ly			2768889188	Scaffold	2019-06-24	SJYN01	19456	1566830
GCA_006410595.1	AGL	Ovis ammon					AGL-py			2659657073	Scaffold	2019-06-24	SJYP01	46562	5620092
GCA_006410615.1	SUN	Neotragus moschatus					SUN-559			2675729750	Scaffold	2019-06-24	SJYA01	59277	952090
GCA_006410635.1	HVD	Cephalophus harveyi					HVD-549			2816643069	Scaffold	2019-06-24	SJYT01	61368	365466
GCA_006410655.1	DFW	Kobus ellipsiprymnus					DFW-375			2895340485	Scaffold	2019-06-24	SJYR01	26169	779552
GCA_006410675.1	KSP	Oreotragus oreotragus					KSP-560			3247632364	Scaffold	2019-06-24	SJYX01	42127	339390
GCA_006410695.1	MXD	Philantomba maxwellii					MXD-5126			3145938691	Scaffold	2019-06-24	SJYS01	11377	383899
GCA_006410715.1	ASM641071v1	Enhydra lutris nereis					Gidget	female		2425597608	Scaffold	2019-06-24	QQQE01	23473	9763901
GCA_006410735.1	SNB	Raphicerus campestris					SNB-1993			3137860433	Scaffold	2019-06-24	SJYW01	25050	537161
GCA_006410755.1	BNG	Tragelaphus eurycerus					BNG-9162			2962040965	Scaffold	2019-06-24	SJYI01	1974	12574
GCA_006410775.1	LEK	Tragelaphus imberbis					LEK-543			4038235010	Scaffold	2019-06-24	SJYM01	12858	1775046
GCA_006410795.1	GTK	Tragelaphus strepsiceros					GTK-544			2867754166	Scaffold	2019-06-24	SJYU01	33649	511483
GCA_006410875.1	RAL	Neotragus pygmaeus					RAL-4837			2895867692	Scaffold	2019-06-24	SJYV01	30751	363895
GCA_006410935.1	BHR	Redunca redunca					BHR-557			2724978760	Scaffold	2019-06-24	SJYQ01	39282	423407
GCA_006411015.1	STG	Tragelaphus spekii					STG-9200			3725951127	Scaffold	2019-06-24	SJYL01	9477	46427
GCA_006411685.1	MTN	Tragelaphus buxtoni					MTN-9119			3267488234	Scaffold	2019-06-24	SJYJ01	1286	7367
GCA_006416875.1	CME	Tragelaphus oryx					CME-1477			2837493372	Scaffold	2019-06-24	SJYK01	1262	1262
GCA_006417275.1	ORB	Ourebia ourebi					ORB-4223			2524866914	Scaffold	2019-06-24	SJXZ01	1259	1259
GCA_006459085.1	FMD	Moschus berezovskii				forest		male		2818010997	Scaffold	2019-06-25	SGQJ01	57706	2509225
GCA_006459105.1	NPU_HINE_1.0	Hydropotes inermis				China	ZZ2017	female		2530176423	Scaffold	2019-06-25	SPDZ01	131446	13818975
GCA_006461545.1	NPU_MBRE_1.0	Moschus berezovskii					LS2015			3835628252	Scaffold	2019-06-25	SPDX01	24701	213462
GCA_006461725.1	NPU_MCHR_1.0	Moschus chrysogaster					WD2015			4972482505	Scaffold	2019-06-25	SPDY01	3769	100428
GCA_006511355.2	NSME_pig_1.2	Sus scrofa scrofa	NS					male		2479314267	Chromosome	2021-04-09		594997	142372574
GCA_006542625.1	Asia_NLE_v1	Nomascus leucogenys					Asia	female		2843966406	Chromosome	2019-07-02	VIFL01	12782853	35886894
GCA_006547115.1	GSC_porc_1.0	Erethizon dorsatum					214976	female		2436547097	Scaffold	2019-07-01	SWEC01	118744	16680019
GCA_006547405.1	ASM654740v1	Globicephala melas					X-22926-18	male		2333854592	Scaffold	2019-07-03	SWEB01	332801	18102937
GCA_006757725.1	CBacY1775	Camelus bactrianus	domestic Bactrian camel				DC269	male		3785487	Contig	2019-07-03	RYZT01	5081	
GCA_006942125.1	SCBI_HNig_1.0	Hippotragus niger niger					SB2152	male		2595326149	Scaffold	2019-07-12	VHQK01	45501	4586323
GCA_007455595.1	ASM745559v1	Microtus oeconomus					LVR207A	male		2306554743	Scaffold	2019-07-25	VIIU01	51221	114768
GCA_007455615.1	ASM745561v1	Microtus arvalis					LVR205A	male		2620579938	Scaffold	2019-07-25	VIIT01	34797	52876
GCA_007474575.2	mLynCan4.alt.v2	Lynx canadensis					LIC74	male		1416309019	Scaffold	2020-06-12	VHLF02	130146	130159
GCA_007474595.2	mLynCan4.pri.v2	Lynx canadensis					LIC74	male		2407810255	Chromosome	2020-07-14	VHLE02	7503561	147275701
GCA_007565055.1	ASM756505v1	Rhinopithecus roxellana					Shanxi Qingling	male		3038460517	Chromosome	2019-07-29	VMRL01	5723610	144559847
GCA_007570765.1	GSC_moose_1.0	Alces alces					MIG12-28694850	female		2743728988	Scaffold	2019-07-12	SSNK01	45091	4131188
GCA_007570785.1	GSC_phorn_1.0	Antilocapra americana					GAN:MWC17-00274	male		2509058137	Scaffold	2019-07-12	SRVM01	220431	18739554
GCA_007644095.1	ASM764409v1	Sus scrofa	Bama miniature					male		2491053062	Chromosome	2019-08-01	SIDA01	1009524	140438739
GCA_007646595.3	ASM764659v3	Bos mutus	Datong Yak				WY2019	female	Annotation submitted by Lanzhou University	2761379179	Scaffold	2019-10-21	VBQZ03	90625	16589160
GCA_007646695.3	UniMelb_ThyCyn2.0_hybrid_assembly	Thylacinus cynocephalus					PY-MV-C5757	female		3376725167	Chromosome	2022-04-04	VAHE03	15023	629085701
GCA_007760645.1	ASM776064v1	Sousa chinensis					SCSF	male		2338882461	Scaffold	2019-07-31	RWJT01	113766	19436979
GCA_007821485.1	HG04217_prelim_1.0	Homo sapiens					HG04217	female		2878155429	Contig	2019-08-01	VOCU01	3421995	
GCA_007827085.3	ASM782708v3	Peromyscus californicus insignis		IS				female		2467923528	Scaffold	2022-04-27	VALE03	8224858	115047232
GCA_007844835.1	NRC_Mithun_1	Bos frontalis	Nagaland					female		3002445034	Scaffold	2019-08-05	RBVW01	28709	1003348
GCA_007922735.1	RhiFer_v1_BIUU	Rhinolophus ferrumequinum					US033	female		2183991669	Scaffold	2019-08-08	VMDN01	127195	156956
GCA_007922755.1	PedCap_v1_BIUU	Pedetes capensis					US022			2850076812	Scaffold	2019-08-08	VMDO01	54009	74432
GCA_007922775.1	AntPal_v1_BIUU	Antrozous pallidus					US032			2597469403	Scaffold	2019-08-08	VMDP01	13442	13958
GCA_007922795.1	NycHum_v1_BIUU	Nycticeius humeralis					US023			2779565143	Scaffold	2019-08-08	VMDQ01	14267	15095
GCA_007922815.1	MacCal_v1_BIUU	Macrotus californicus					US035			2160653756	Scaffold	2019-08-08	VMDR01	16404	16948
GCA_007922845.1	UniMelb_Wolf_Refassem_1	Canis lupus	Chinese wolf				RKW13451	female		2342421267	Scaffold	2019-08-08	VAWD01	842	64175042
GCA_007988765.1	SarHar_Dovetail_2.0	Sarcophilus harrisii					DoveGen-2018	female		3177401896	Scaffold	2019-08-12	VOSF01	20124	7751297
GCA_008058575.1	rheMacS_1.0	Macaca mulatta					rheMacS_CGG.01	male		3037157472	Chromosome	2019-08-22	VSDM01	8187455	148403059
GCA_008065235.1	HG00268_prelim_1.0	Homo sapiens					HG00268	female		2908574082	Contig	2019-08-22	VRZF01	20033786	
GCA_008086735.1	ASM808673v1	Cheirogaleus medius					cmid_1.0_TD	female		2121890802	Scaffold	2019-08-26	VBSM01	34905	48318266
GCA_008122165.1	Kamilah_GGO_v0	Gorilla gorilla gorilla	western lowland gorilla				Kamilah (stud number 0661)	female		3044855802	Chromosome	2019-08-28	SRLZ01	9522971	26116462
GCA_008131255.1	ASM813125v1	Meriones unguiculatus					EAM2014			2537531842	Scaffold	2019-08-30	VFHZ01	58685	500041
GCA_008583285.1	HG02106_prelim_1.0	Homo sapiens					HG02106	female		2887220360	Contig	2019-09-19	VXDS01	3228826	
GCA_008632895.1	UCSF_Mcou_1	Mastomys coucha					ucsf_1	male		2507168619	Chromosome	2019-09-24	VSBT01	30483	118621203
GCA_008641055.3	ASM864105v3	Canis lupus familiaris	German Shepherd				Nala	female		2407226110	Chromosome	2020-04-14	VSDE02	20914347	64346267
GCA_008658375.2	mBalMus1.alt.v2	Balaenoptera musculus					JJ_BM4_2016_0621	male		1835388607	Scaffold	2020-09-30	VNFD02	275582	275582
GCA_008692025.1	mPhoSin1.pri	Phocoena sinus					mPhoSin1	female		2371524154	Chromosome	2019-09-26	VOSU01	20218762	115469292
GCA_008692045.1	mPhoSin1.alt	Phocoena sinus					mPhoSin1	female		995426950	Scaffold	2019-09-24	VOSV01	137866	137866
GCA_008692635.1	BGI_CrCroc_1.0	Crocuta crocuta					KB4526	male	Annotation submitted by BGI	2348360376	Scaffold	2019-10-07	VOAJ01	97873	7236831
GCA_008728515.1	Panubis1.0	Papio anubis					15944	male		2869804647	Chromosome	2019-10-02	VSMJ01	1464978	140274886
GCA_008728515.2	Panubis1.1	Papio anubis					15944	male		2869802739	Chromosome	2022-04-27	VSMJ02	1465768	140185856
GCA_008750895.1	Mzaz_1.0	Mirza zaza					DLC2301	female		2359344610	Scaffold	2019-09-30	VSMD01	73499	75843
GCA_008750915.1	Mjon_1.0	Microcebus sp. 3 GT-2019					MBB030	female		2499225679	Scaffold	2019-09-30	VSMF01	38130	38968
GCA_008750935.1	Mtav_1.0	Microcebus tavaratra					RMR71	female		2583971501	Scaffold	2019-09-30	VSME01	29527	30039
GCA_008750955.1	Mmit_1.0	Microcebus mittermeieri					MBB011	female		3012906786	Scaffold	2019-09-30	VSMH01	15314	15314
GCA_008750975.1	Mrav_1.0	Microcebus ravelobensis					RMR55	male		2416211825	Scaffold	2019-09-30	VSMG01	21473	21495
GCA_008750995.1	Mgri_1.0	Microcebus griseorufus					RMR66	female		2838334889	Scaffold	2019-09-30	VSMI01	16653	16816
GCA_008782695.1	UCB_Mmun_1.0	Muntiacus muntjak					UTSW_UCB_Mm	female	Annotation submitted by University of California, Berkeley	2573529099	Chromosome	2019-10-07	VCEA01	215534	682452208
GCA_008787405.2	UCB_Mree_1.1	Muntiacus reevesi					UCam_UCB_Mr	male	Annotation submitted by University of California, Berkeley	2579575442	Chromosome	2019-10-07	VCEB01	225142	94101870
GCA_008795835.1	PanLeo1.0	Panthera leo					Brooke	female		2406807619	Chromosome	2019-10-07	VOCV01	286703	136051765
GCA_008795845.1	Baphy	Balaenoptera physalus					FinWhale-01	female	Annotation submitted by Korea Ocean Research & Development Institute	2462774868	Scaffold	2019-10-01	SGJD01	4493	871016
GCA_008931205.1	ASM893120v1	Muntiacus muntjak					OR735	female		2657603429	Scaffold	2019-10-09	RAWV01	41653	1354400
GCA_009176485.1	melanesian_HSAv1	Homo sapiens					HGDP00550 cell line	female		2830393576	Contig	2019-10-18	SSBD01	30131366	
GCA_009299535.1	NA19836_prelim_1.0	Homo sapiens					NA19836	female		2883268836	Contig	2019-10-23	WHUH01	18454680	
GCA_009493645.1	ARS_UNL_BGru_maternal_1.0_p	Bos grunniens x Bos taurus					Esperanza	female		2677156012	Chromosome	2019-11-04	VLPI01	72336424	104384344
GCA_009493655.1	ARS_UNL_Btau-highland_paternal_1.0_alt	Bos grunniens x Bos taurus					Esperanza	female		2668877089	Chromosome	2019-11-04	VLPJ01	71681919	104392194
GCA_009650525.1	NA20502_prelim_1.0	Homo sapiens					NA20502	female		2861407719	Contig	2019-11-12	WJPI01	22860245	
GCA_009660055.1	ASM966005v1	Ursus thibetanus thibetanus					TBB2019			2373594928	Scaffold	2019-11-13	WEIE01	145966	26803000
GCA_009663435.2	Callithrix_jacchus_cj1700_1.1	Callithrix jacchus		cj1700			SNPRC 17081; SNPRC 17065; SNPRC 17066	female		2897807928	Chromosome	2020-05-22	WJHW01	25227091	98198953
GCA_009734825.1	NA20862_prelim_1.0	Homo sapiens					NA20862	female		2875585405	Contig	2019-12-08	WPGX01	16912639	
GCA_009758055.1	ASM975805v1	Oreamnos americanus					splAK2016	female		2506012843	Scaffold	2019-12-16	WJNR01	24510	66616962
GCA_009760805.1	CIBIO-ISEM_LeTim_1.1	Lepus timidus				Ireland	LTM.BIO.3104	female		2703257108	Chromosome	2019-12-17	VUAX01	18458	116271063
GCA_009761245.1	GSC_monkey_1.0	Sapajus apella					SASKATOON/1434	female		2729201088	Scaffold	2019-12-17	WRPQ01	144042	23742480
GCA_009762295.2	mZalCal1.alt.v2	Zalophus californianus					mZalCal1	male		1970935876	Contig	2020-06-12	WPOB02	1316871	
GCA_009762305.2	mZalCal1.pri.v2	Zalophus californianus					mZalCal1	male		2409668595	Chromosome	2020-07-14	WPOA02	32626160	147124152
GCA_009764315.1	Tfra_2.0	Trachypithecus francoisi					TF-2019V2	male		2875554650	Scaffold	2019-12-18	VVIV01	16182741	130977661
GCA_009764325.1	Trachy_franco_1.0	Trachypithecus francoisi	black				2012B027	male		2902133109	Scaffold	2019-12-18	QXJD01	342647	2816867
GCA_009769715.1	NA20300_prelim_1.0	Homo sapiens					NA20300	female		2914802784	Contig	2019-12-19	WTXW01	20593040	
GCA_009793145.1	ASM979314v1	Cynopterus brachyotis					CB-01	male		1758935687	Scaffold	2019-12-23	SSHV01	16627	251278
GCA_009806435.2	UM_NZW_1.0	Oryctolagus cuniculus	New Zealand White				DNA-2018	male		2841489785	Chromosome	2021-02-04	VIYN02	337730	111644748
GCA_009811775.1	CJ2019_assembly	Callithrix jacchus					I2075			2791255303	Scaffold	2019-12-23	BJKT01	6375389	143892389
GCA_009822645.1	ASM982264v1	Castor canadensis					PB-2018	pooled male and female		3133828374	Scaffold	2019-12-31	RPDE01	86942	26151911
GCA_009823495.1	ASM982349v1	Capra hircus	Pashmina (Cashmere)				M0009	male		2941702774	Scaffold	2019-12-31	QWFW01	87277385	87277385
GCA_009823505.1	RhiPru_1.0	Rhizomys pruinosus					BR201808	male		3711971808	Scaffold	2019-12-31	VZQC01	103291	2203772
GCA_009828535.2	HMol_V2	Hylobates moloch					HMO894	male		2848329432	Scaffold	2020-02-13	WKKJ02	265822	125196221
GCA_009828535.3	HMol_V3	Hylobates moloch					HMO894	male		2848323459	Scaffold	2021-11-10	WKKJ03	265822	125196221
GCA_009829155.1	mMusErm1.Pri	Mustela erminea					mMusErm1	male		2445200799	Chromosome	2020-01-03	WNLY01	36329944	130149454
GCA_009829165.1	mMusErm1.alt	Mustela erminea					mMusErm1	male		1640216494	Contig	2020-01-03	WNLZ01	1000018	
GCA_009834535.1	BCGSAC_Cfer_1.0	Camelus ferus					YT-003-E	male		2087077296	Chromosome	2020-01-08	VSZR01	5365398	76025729
GCA_009859125.1	ASM985912v1	Mustela putorius furo					J9015			2458507646	Contig	2020-01-13	WQMX01	24282659	
GCA_009859175.1	ASM985917v1	Mustela putorius furo					W1511			2461384621	Contig	2020-01-13	WQMY01	32072651	
GCA_009859215.1	ASM985921v1	Mustela putorius furo					P46			2459857180	Contig	2020-01-13	WQMZ01	30834841	
GCA_009859225.1	ASM985922v1	Mustela putorius furo					W2606			2461648001	Contig	2020-01-13	WQNB01	33389539	
GCA_009859235.1	ASM985923v1	Mustela putorius furo					H5856			2462062589	Contig	2020-01-13	WQNA01	27411789	
GCA_009859245.1	ASM985924v1	Mustela putorius furo					V9676			2459021314	Contig	2020-01-13	WQNC01	30464569	
GCA_009859265.1	ASM985926v1	Mustela putorius furo					M3971			2459397266	Contig	2020-01-13	WQND01	29642412	
GCA_009873245.3	mBalMus1.pri.v3	Balaenoptera musculus					JJ_BM4_2016_0621	male		2374852541	Chromosome	2020-10-02	VNFC03	6315640	110314666
GCA_009914755.4	T2T-CHM13v2.0	Homo sapiens								3117275501	Complete Genome	2022-01-24		150617247	150617247
GCA_009917725.1	GSC_bbay_1.0	Delphinapterus leucas				Bristol Bay	DLBB14-01	male		2422274619	Scaffold	2020-01-07	WNGX01	76763	1361507
GCA_009917745.1	GSC_cook_1.0	Delphinapterus leucas				Cook Inlet, Alaska, USA	DL-CIB17-05	male		2389893305	Scaffold	2020-01-07	WJSI01	141056	3009037
GCA_009935935.1	HG03125_prelim_1.0	Homo sapiens					HG03125	female		2923225454	Contig	2020-01-27	JAABOD01	30959455	
GCA_010015535.1	M1713	Mustela putorius furo					M1713			2458820700	Contig	2020-01-30	WYDY01	32367038	
GCA_010015895.1	GSC_riverotter_1.0	Lontra canadensis					GAN:19392208	female		2405748306	Scaffold	2020-01-27	WMAJ01	691969	18460785
GCA_010120015.1	ASM1012001v1	Rhombomys opimus					Great_gerbil_Xinjiang_2013_1			2376008858	Scaffold	2020-02-04	REGO01	56880	3610217
GCA_010279795.1	HG01567_prelim_1.0	Homo sapiens					HG01567	female		2857958343	Contig	2020-02-06	JAAGKU01	13214010	
GCA_010367565.1	ASM1036756v1	Mustela putorius furo					O_273589Z	male		2451933509	Contig	2020-02-10	WXYJ01	26626591	
GCA_010367575.1	ASM1036757v1	Mustela putorius furo					MF-122017F	male		2450625968	Contig	2020-02-10	WXYK01	24966261	
GCA_010411085.1	CEY_v1	Cervus hanglu yarkandensis					CEY-2017	male	Annotation submitted by Institute of Special Wild Economic Animals and Plants, Chinese Academy of Agricultural Sciences	2594114534	Chromosome	2020-02-12	WMHW01	268660	77688133
GCA_010580585.1	NA21309_prelim_1.0	Homo sapiens					NA21309	female		2896647367	Contig	2020-02-13	JAAIFL01	19930731	
GCA_010580605.1	HG03719_prelim_1.0	Homo sapiens					HG03719	female		2877492013	Contig	2020-02-13	JAAIIE01	13575823	
GCA_010645205.1	ASM1064520v1	Homo sapiens						male		2766593830	Contig	2020-02-14	WUWJ01	1956515	
GCA_010646935.1	ASM1064693v1	Homo sapiens						male		2766456115	Contig	2020-02-14	WUWL01	1956431	
GCA_010646975.1	ASM1064697v1	Homo sapiens						male		2766638572	Contig	2020-02-14	WUWK01	1956558	
GCA_011008995.1	HG00766_prelim_1.0	Homo sapiens					HG00766	female		2873602663	Contig	2020-02-25	JAAKGZ01	23571461	
GCA_011057625.1	ASM1105762v1	Tursiops aduncus				African	SF8	male		2480473881	Scaffold	2020-03-02	JAALGC01	8728	250678
GCA_011064425.1	Rrattus_CSIRO_v1	Rattus rattus					New Zealand	male		2382770976	Chromosome	2020-03-04	JAAIVD01	1635336	158824752
GCA_011064465.2	Ash1_v2.2	Homo sapiens					NA24385	male	Annotation submitted by Johns Hopkins University	3125421876	Chromosome	2022-06-02	JAAKGM02	150154455	150154455
GCA_011078405.1	mCalJac1.mat	Callithrix jacchus					mCalJac1	male		2811151840	Chromosome	2020-03-10	JAALXQ01	8609028	146897247
